Model,Strategy,Unfrozen (%),Trainable Params,Best Val Acc (%),Final Val Acc (%),Final Train Acc (%),Train-Val Gap (%),Best Acc per 1M Tuned Params
ResNet50,linear_probe,0.0,61470,87.71,87.21,91.31,4.11,1426.802
ResNet50,last_block,63.7,15026206,94.78,94.5,98.96,4.47,6.308
ResNet50,selective,19.9,4749406,91.42,90.85,96.21,5.36,19.249
ResNet50,full,100.0,23569502,95.78,95.64,99.93,4.29,4.064
EfficientNet-B0,linear_probe,0.0,38430,85.56,85.28,93.76,8.49,2226.415
EfficientNet-B0,last_block,17.9,755662,91.42,91.21,99.64,8.43,120.983
EfficientNet-B0,selective,20.0,839712,93.5,93.07,99.82,6.75,111.342
EfficientNet-B0,full,100.0,4045978,96.35,96.14,100.0,3.86,23.815
ConvNeXt-Tiny,linear_probe,0.0,24606,94.57,94.42,99.68,5.25,3843.272
ConvNeXt-Tiny,last_block,55.6,15495198,97.71,97.57,100.0,2.43,6.306
ConvNeXt-Tiny,selective,19.4,5424126,97.64,97.57,100.0,2.43,18.001
ConvNeXt-Tiny,full,100.0,27843198,97.64,97.57,100.0,2.43,3.507
