Model,Strategy,Corruption,Clean Acc (%),Corrupted Acc (%),Corruption Error,Relative Robustness
ResNet50,linear_probe,Gaussian σ=0.05,87.71,78.41,0.2159,0.8941
ResNet50,linear_probe,Gaussian σ=0.1,87.71,71.77,0.2823,0.8183
ResNet50,linear_probe,Gaussian σ=0.2,87.71,25.3,0.747,0.2885
ResNet50,linear_probe,MotionBlur k=15,87.71,36.67,0.6333,0.4181
ResNet50,linear_probe,Brightness f=1.5,87.71,83.7,0.163,0.9544
ResNet50,last_block,Gaussian σ=0.05,94.78,89.49,0.1051,0.9442
ResNet50,last_block,Gaussian σ=0.1,94.78,82.84,0.1716,0.8741
ResNet50,last_block,Gaussian σ=0.2,94.78,38.1,0.619,0.402
ResNet50,last_block,MotionBlur k=15,94.78,51.89,0.4811,0.5475
ResNet50,last_block,Brightness f=1.5,94.78,91.64,0.0836,0.9668
ResNet50,selective,Gaussian σ=0.05,91.42,88.21,0.1179,0.9648
ResNet50,selective,Gaussian σ=0.1,91.42,82.77,0.1723,0.9054
ResNet50,selective,Gaussian σ=0.2,91.42,70.26,0.2974,0.7686
ResNet50,selective,MotionBlur k=15,91.42,45.53,0.5447,0.498
ResNet50,selective,Brightness f=1.5,91.42,87.56,0.1244,0.9578
ResNet50,full,Gaussian σ=0.05,95.78,93.57,0.0643,0.9769
ResNet50,full,Gaussian σ=0.1,95.78,89.06,0.1094,0.9299
ResNet50,full,Gaussian σ=0.2,95.78,64.9,0.351,0.6776
ResNet50,full,MotionBlur k=15,95.78,56.9,0.431,0.594
ResNet50,full,Brightness f=1.5,95.78,92.99,0.0701,0.9709
EfficientNet-B0,linear_probe,Gaussian σ=0.05,85.56,85.35,0.1465,0.9975
EfficientNet-B0,linear_probe,Gaussian σ=0.1,85.56,79.49,0.2051,0.929
EfficientNet-B0,linear_probe,Gaussian σ=0.2,85.56,25.16,0.7484,0.2941
EfficientNet-B0,linear_probe,MotionBlur k=15,85.56,25.16,0.7484,0.2941
EfficientNet-B0,linear_probe,Brightness f=1.5,85.56,80.49,0.1951,0.9407
EfficientNet-B0,last_block,Gaussian σ=0.05,91.42,90.42,0.0958,0.9891
EfficientNet-B0,last_block,Gaussian σ=0.1,91.42,86.42,0.1358,0.9453
EfficientNet-B0,last_block,Gaussian σ=0.2,91.42,29.24,0.7076,0.3198
EfficientNet-B0,last_block,MotionBlur k=15,91.42,37.38,0.6262,0.4089
EfficientNet-B0,last_block,Brightness f=1.5,91.42,88.06,0.1194,0.9633
EfficientNet-B0,selective,Gaussian σ=0.05,93.5,92.35,0.0765,0.9878
EfficientNet-B0,selective,Gaussian σ=0.1,93.5,89.64,0.1036,0.9587
EfficientNet-B0,selective,Gaussian σ=0.2,93.5,34.67,0.6533,0.3708
EfficientNet-B0,selective,MotionBlur k=15,93.5,41.67,0.5833,0.4457
EfficientNet-B0,selective,Brightness f=1.5,93.5,90.42,0.0958,0.9671
EfficientNet-B0,full,Gaussian σ=0.05,96.35,95.21,0.0479,0.9881
EfficientNet-B0,full,Gaussian σ=0.1,96.35,94.07,0.0593,0.9763
EfficientNet-B0,full,Gaussian σ=0.2,96.35,54.82,0.4518,0.569
EfficientNet-B0,full,MotionBlur k=15,96.35,56.4,0.436,0.5853
EfficientNet-B0,full,Brightness f=1.5,96.35,95.21,0.0479,0.9881
ConvNeXt-Tiny,linear_probe,Gaussian σ=0.05,94.57,93.57,0.0643,0.9894
ConvNeXt-Tiny,linear_probe,Gaussian σ=0.1,94.57,91.92,0.0808,0.972
ConvNeXt-Tiny,linear_probe,Gaussian σ=0.2,94.57,84.92,0.1508,0.898
ConvNeXt-Tiny,linear_probe,MotionBlur k=15,94.57,44.75,0.5525,0.4732
ConvNeXt-Tiny,linear_probe,Brightness f=1.5,94.57,93.78,0.0622,0.9917
ConvNeXt-Tiny,last_block,Gaussian σ=0.05,97.71,97.36,0.0264,0.9963
ConvNeXt-Tiny,last_block,Gaussian σ=0.1,97.71,96.28,0.0372,0.9854
ConvNeXt-Tiny,last_block,Gaussian σ=0.2,97.71,94.28,0.0572,0.9649
ConvNeXt-Tiny,last_block,MotionBlur k=15,97.71,67.91,0.3209,0.695
ConvNeXt-Tiny,last_block,Brightness f=1.5,97.71,96.85,0.0315,0.9912
ConvNeXt-Tiny,selective,Gaussian σ=0.05,97.64,97.64,0.0236,1.0
ConvNeXt-Tiny,selective,Gaussian σ=0.1,97.64,96.93,0.0307,0.9927
ConvNeXt-Tiny,selective,Gaussian σ=0.2,97.64,93.57,0.0643,0.9583
ConvNeXt-Tiny,selective,MotionBlur k=15,97.64,64.4,0.356,0.6596
ConvNeXt-Tiny,selective,Brightness f=1.5,97.64,97.28,0.0272,0.9963
ConvNeXt-Tiny,full,Gaussian σ=0.05,97.64,97.28,0.0272,0.9963
ConvNeXt-Tiny,full,Gaussian σ=0.1,97.64,96.93,0.0307,0.9927
ConvNeXt-Tiny,full,Gaussian σ=0.2,97.64,93.57,0.0643,0.9583
ConvNeXt-Tiny,full,MotionBlur k=15,97.64,63.19,0.3681,0.6471
ConvNeXt-Tiny,full,Brightness f=1.5,97.64,96.64,0.0336,0.9898
