Model,Data Fraction,N Train Samples,Epochs Trained,Best Val Acc (%),Final Train Acc (%),Train-Val Gap (%),Relative Drop Δ (%)
ResNet50,100%,5594,30,87.92,91.56,4.21,
ResNet50,50%,2797,20,82.92,87.27,4.5,
ResNet50,20%,1118,20,77.41,87.75,10.91,
ResNet50,5%,279,20,58.54,86.74,28.7,33.41
EfficientNet-B0,100%,5594,30,86.2,93.42,7.57,
EfficientNet-B0,50%,2797,20,80.56,90.42,9.86,
EfficientNet-B0,20%,1118,20,67.62,87.57,19.95,
EfficientNet-B0,5%,279,20,34.1,61.65,27.55,60.45
ConvNeXt-Tiny,100%,5594,30,94.85,99.75,5.18,
ConvNeXt-Tiny,50%,2797,20,92.92,99.68,6.83,
ConvNeXt-Tiny,20%,1118,20,87.92,100.0,12.51,
ConvNeXt-Tiny,5%,279,20,77.34,99.64,22.73,18.46
