Model,Corruption,Clean Acc (%),Corrupted Acc (%),Corruption Error,Relative Robustness
ResNet50,Gaussian σ=0.05,87.92,78.27,0.2173,0.8902
ResNet50,Gaussian σ=0.1,87.92,71.69,0.2831,0.8154
ResNet50,Gaussian σ=0.2,87.92,28.45,0.7155,0.3236
ResNet50,MotionBlur k=15,87.92,36.24,0.6376,0.4122
ResNet50,Brightness f=1.5,87.92,83.85,0.1615,0.9537
EfficientNet-B0,Gaussian σ=0.05,86.2,85.28,0.1472,0.9892
EfficientNet-B0,Gaussian σ=0.1,86.2,78.98,0.2102,0.9163
EfficientNet-B0,Gaussian σ=0.2,86.2,28.31,0.7169,0.3284
EfficientNet-B0,MotionBlur k=15,86.2,25.73,0.7427,0.2985
EfficientNet-B0,Brightness f=1.5,86.2,80.84,0.1916,0.9378
ConvNeXt-Tiny,Gaussian σ=0.05,94.85,93.42,0.0658,0.9849
ConvNeXt-Tiny,Gaussian σ=0.1,94.85,91.92,0.0808,0.9691
ConvNeXt-Tiny,Gaussian σ=0.2,94.85,84.92,0.1508,0.8953
ConvNeXt-Tiny,MotionBlur k=15,94.85,45.75,0.5425,0.4823
ConvNeXt-Tiny,Brightness f=1.5,94.85,93.71,0.0629,0.9879
