Model,Corruption,Clean Acc (%),Corrupted Acc (%),Corruption Error,Relative Robustness
ResNet50,Gaussian σ=0.05,88.63,79.27,0.2073,0.8944
ResNet50,Gaussian σ=0.1,88.63,72.55,0.2745,0.8185
ResNet50,Gaussian σ=0.2,88.63,27.95,0.7205,0.3153
ResNet50,MotionBlur k=15,88.63,36.1,0.639,0.4073
ResNet50,Brightness f=1.5,88.63,84.77,0.1523,0.9565
EfficientNet-B0,Gaussian σ=0.05,86.13,84.7,0.153,0.9834
EfficientNet-B0,Gaussian σ=0.1,86.13,79.13,0.2087,0.9187
EfficientNet-B0,Gaussian σ=0.2,86.13,27.23,0.7277,0.3162
EfficientNet-B0,MotionBlur k=15,86.13,24.8,0.752,0.288
EfficientNet-B0,Brightness f=1.5,86.13,81.13,0.1887,0.9419
ConvNeXt-Tiny,Gaussian σ=0.05,94.78,93.42,0.0658,0.9857
ConvNeXt-Tiny,Gaussian σ=0.1,94.78,91.99,0.0801,0.9706
ConvNeXt-Tiny,Gaussian σ=0.2,94.78,84.99,0.1501,0.8967
ConvNeXt-Tiny,MotionBlur k=15,94.78,43.53,0.5647,0.4593
ConvNeXt-Tiny,Brightness f=1.5,94.78,93.42,0.0658,0.9857
